Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NOK,NOK,NOK,NOK,NOK,,,
2021-12-28,2021,12,28,Tuesday,52,2021-52,5.72,5.75,5.64,5.66,12315300,-0.006308862742694488,5.445,5.231
2021-12-29,2021,12,29,Wednesday,52,2021-52,5.64,5.67,5.62,5.65,9834900,-0.0015876295331112011,5.472857142857143,5.2378
2021-12-30,2021,12,30,Thursday,52,2021-52,5.65,5.68,5.62,5.62,12171400,-0.004769449596705777,5.49,5.2452
2021-12-31,2021,12,31,Friday,52,2021-52,5.61,5.63,5.53,5.59,10957100,-0.006389741679818872,5.502857142857144,5.2505999999999995
2022-01-03,2022,1,3,Monday,01,2022-01,5.68,5.69,5.6,5.65,22991400,0.011253957823047944,5.522857142857143,5.256800000000001
2022-01-04,2022,1,4,Tuesday,01,2022-01,5.66,5.67,5.59,5.61,21344900,-0.00635926612894111,5.541428571428573,5.263400000000001
2022-01-05,2022,1,5,Wednesday,01,2022-01,5.62,5.7,5.51,5.52,27541300,-0.01759990433006675,5.542142857142857,5.272200000000001
2022-01-06,2022,1,6,Thursday,01,2022-01,5.47,5.53,5.41,5.5,27604400,-0.0032574838785758287,5.546428571428572,5.2798
2022-01-07,2022,1,7,Friday,01,2022-01,5.52,5.56,5.46,5.48,25342500,-0.0032679562817603536,5.552142857142857,5.2860000000000005
2022-01-10,2022,1,10,Monday,02,2022-02,5.46,5.55,5.43,5.54,21384500,0.011475434944281826,5.5685714285714285,5.292199999999999
2022-01-11,2022,1,11,Tuesday,02,2022-02,5.52,5.62,5.48,5.61,27926600,0.011345329377879798,5.586428571428571,5.3024000000000004
2022-01-12,2022,1,12,Wednesday,02,2022-02,5.56,5.59,5.45,5.47,28582000,-0.024038498756739357,5.582857142857143,5.3096000000000005
2022-01-13,2022,1,13,Thursday,02,2022-02,5.4,5.43,5.28,5.29,29341500,-0.032840890815831525,5.563571428571429,5.3156
2022-01-14,2022,1,14,Friday,02,2022-02,5.27,5.33,5.22,5.33,27200500,0.006791045240198468,5.5371428571428565,5.318599999999999
2022-01-18,2022,1,18,Tuesday,03,2022-03,5.28,5.28,5.16,5.17,25236800,-0.030353794900220166,5.502142857142857,5.319399999999999
2022-01-19,2022,1,19,Wednesday,03,2022-03,5.21,5.25,5.14,5.16,23791200,-0.0017391208014099213,5.467142857142856,5.319
2022-01-20,2022,1,20,Thursday,03,2022-03,5.17,5.21,5.06,5.06,25855700,-0.019164026652185417,5.427142857142857,5.315
2022-01-21,2022,1,21,Friday,03,2022-03,5.04,5.11,4.95,4.95,64116800,-0.021314274669168465,5.381428571428572,5.31
2022-01-24,2022,1,24,Monday,04,2022-04,4.85,4.95,4.72,4.93,44962300,-0.0036298408234306523,5.329999999999999,5.3062000000000005
2022-01-25,2022,1,25,Tuesday,04,2022-04,4.96,5.06,4.91,5.0,37207600,0.014572064887682146,5.286428571428571,5.3036
2022-01-26,2022,1,26,Wednesday,04,2022-04,5.12,5.13,4.95,5.01,30882900,0.001795227080453099,5.25,5.301799999999999
2022-01-27,2022,1,27,Thursday,04,2022-04,5.07,5.11,4.99,5.02,44196400,0.0017922954129034885,5.215714285714285,5.301799999999999
2022-01-28,2022,1,28,Friday,04,2022-04,5.06,5.14,4.95,5.14,33370700,0.023255685864868703,5.191428571428571,5.304200000000001
2022-01-31,2022,1,31,Monday,05,2022-05,5.21,5.33,5.2,5.3,25122600,0.03146873330107458,5.174285714285714,5.308199999999999
2022-02-01,2022,2,1,Tuesday,05,2022-05,5.32,5.34,5.26,5.34,25378700,0.006779443252506123,5.155,5.3102
2022-02-02,2022,2,2,Wednesday,05,2022-05,5.34,5.39,5.33,5.36,31203900,0.005050388602795719,5.147142857142858,5.313000000000001
2022-02-03,2022,2,3,Thursday,05,2022-05,5.25,5.31,5.14,5.14,32235300,-0.04187591613097408,5.136428571428572,5.3138
